Price,Close,High,Low,Open,Volume
Ticker,0388.HK,0388.HK,0388.HK,0388.HK,0388.HK
Date,,,,,
2024-05-10,268.6827392578125,270.1869171482371,257.58948110931937,258.52958870460884,21255435
2024-05-13,266.2384948730469,271.31507038630156,262.85410163427434,271.31507038630156,6313272
2024-05-14,267.3666076660156,269.9989262776895,265.8624297007461,267.5546406703525,5036204
2024-05-16,274.51141357421875,276.0155914413539,266.23847833968546,269.99890866261995,8910691
2024-05-17,277.3317565917969,280.90415418383554,272.6312183444783,277.3317565917969,8994092
2024-05-20,278.0838317871094,280.9041547410955,276.2036164844519,279.7760427733863,5318282
2024-05-21,268.11871337890625,275.45154157634624,266.61453540025457,274.51143392591507,9171567
2024-05-22,266.8025207519531,270.9390170716725,264.54626828925586,267.3665910400791,4669657
2024-05-23,261.161865234375,265.674398676514,260.4097906722546,263.9821878770348,8463925
2024-05-24,257.5895080566406,260.7858684770457,255.70929266936588,259.09368610442243,5038949
2024-05-27,262.2900390625,262.66607639129444,256.0853227230597,257.2134633992522,5206460
2024-05-28,259.84576416015625,264.35829836214293,258.71765212701735,261.53797524458014,3501176
2024-05-29,254.95718383789062,258.71761410871613,253.82904328072053,256.8373989733034,5110465
2024-05-30,247.6243438720703,254.2050972785632,245.36809129923435,253.8290599647252,9578077
2024-05-31,247.06027221679688,254.20509590021,246.12016459239535,251.00873571520643,8122734
2024-06-03,251.5727996826172,254.20508948862644,248.1884065821716,249.31654717892252,5384777
2024-06-04,254.7691650390625,256.64938027920317,251.3847718688477,251.3847718688477,4744673
2024-06-05,257.5895080566406,263.4181872331163,256.4613673483518,256.83743337765475,5445354
2024-06-06,256.6493835449219,262.29002933711797,254.39313096600506,261.3499217050853,3622219
2024-06-07,254.58111572265625,259.0936492236638,253.4530038647588,257.40143840210874,3036160
2024-06-11,250.25668334960938,254.01711418167076,245.9321821547767,253.82908116414353,6423914
2024-06-12,246.87228393554688,249.12853664265046,245.55613891388728,248.37646197021917,3691973
2024-06-13,248.18841552734375,251.1967714339015,246.49623326103512,250.06863079649028,3734529
